chrom	start	end
chr1	120926459	144284587
chr2	89302511	95190557
chr3	89672458	94755574
chr4	48612061	52843951
chr5	45385900	51159807
chr6	57453888	60929934
chr7	57069653	62628020
chr8	42933744	46977265
chr9	42289635	61618558
chr10	38586682	42693521
chr11	49771348	55525074
chr12	33669407	38285252
chr13	0	19151248
chr14	0	19273523
chr15	0	20825254
chr16	35211158	47380682
chr17	21713679	27716164
chr18	14360899	21961206
chr19	23398980	28290874
chr20	25336232	31138348
chr21	0	6110000
chr21	9764560	14015808
chr22	0	16154318
chrX	57505579	63512542
chrY	9216944	11644039
chrY	25573214	57773214
